"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Static Pressure (Pa)"
4.0E-5,202.1376828776265
4.0E-5,201.58330269830185
4.0E-5,201.0058512946125
4.0E-5,200.52700483301305
4.0E-5,200.06321411365934
4.0E-5,199.52969128959376
4.0E-5,198.85738050717555
4.0E-5,198.3543660872092
4.0E-5,197.87726414650388
4.0E-5,197.30977728746075
4.0E-5,196.71909115463495
4.0E-5,196.19066696224036
4.0E-5,195.62501097950735
4.0E-5,195.17068456448033
4.0E-5,194.6749718617648
4.0E-5,193.99350982537726
4.0E-5,193.46139856812079
4.0E-5,192.97489083500113
4.0E-5,192.48205109499395
4.0E-5,191.97950476508413
4.0E-5,191.41160382058297
4.0E-5,190.9124412340825
4.0E-5,190.41750808718643
4.0E-5,189.7517512399354
4.0E-5,189.25538210854575
4.0E-5,188.9626745574933
4.0E-5,188.43472486756218
4.0E-5,187.72117006182089
4.0E-5,187.27668225494563
4.0E-5,186.73315703723347
4.0E-5,186.09091766537313
4.0E-5,185.57203254732303
4.0E-5,185.15463702345733
4.0E-5,184.63581749331206
4.0E-5,184.01200774218887
4.0E-5,183.3749470259645
4.0E-5,182.9264003210701
4.0E-5,182.43618214435992
4.0E-5,181.89631350152194
4.0E-5,181.40450532050454
4.0E-5,180.8699520828959
4.0E-5,180.24206883108127
4.0E-5,179.9254098231031
4.0E-5,179.39052006424754
4.0E-5,178.70526820921805
4.0E-5,178.2396052654658
4.0E-5,177.73250684785307
4.0E-5,177.21084567296202
4.0E-5,176.60611061973032
4.0E-5,176.26825685266522
4.0E-5,175.80203530954896
4.0E-5,175.0912971435755
4.0E-5,174.57195412825968
4.0E-5,174.07039034528134
4.0E-5,173.51478887071426
4.0E-5,173.06106133120193
4.0E-5,172.60615265772503
4.0E-5,172.00322500376205
4.0E-5,171.56599975012068
4.0E-5,171.3074745888989
4.0E-5,170.56402990015613
6.0E-5,241.56751634686952
6.0E-5,241.0310925320373
6.0E-5,240.57764846959617
6.0E-5,240.1551002256747
6.0E-5,239.62798215361545
6.0E-5,239.17612930660835
6.0E-5,238.14391262611025
6.0E-5,237.5209964649839
6.0E-5,236.93509502855886
6.0E-5,236.40863429466845
6.0E-5,235.87117110652616
6.0E-5,235.36057982236525
6.0E-5,234.76833016896126
6.0E-5,234.17556110133592
6.0E-5,233.5987081285566
6.0E-5,233.05890908895526
6.0E-5,232.5652138874866
6.0E-5,232.02723225823138
6.0E-5,231.33435947209364
6.0E-5,230.6597964349785
6.0E-5,229.8657329028356
6.0E-5,229.48884666571394
6.0E-5,228.89395065797726
6.0E-5,228.24284258892294
6.0E-5,227.66114092939824
6.0E-5,227.07852123636985
6.0E-5,226.50075661303708
