"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Temperature (K)"
6.0E-5,1402.876220703125
6.0E-5,1402.2034912109375
6.0E-5,1401.397216796875
6.0E-5,1400.221923828125
6.0E-5,1399.198974609375
6.0E-5,1399.91259765625
6.0E-5,1398.3564453125
6.0E-5,1397.71826171875
6.0E-5,1396.8779296875
6.0E-5,1396.3680419921875
6.0E-5,1395.7567138671875
6.0E-5,1395.7567138671875
6.0E-5,1394.1275634765625
6.0E-5,1394.582275390625
6.0E-5,1392.364501953125
6.0E-5,1391.5819091796875
6.0E-5,1391.5045166015625
6.0E-5,1390.482177734375
6.0E-5,1389.5208740234375
6.0E-5,1389.335205078125
6.0E-5,1388.947998046875
6.0E-5,1387.584716796875
6.0E-5,1386.8980712890625
6.0E-5,1386.187255859375
6.0E-5,1386.56787109375
6.0E-5,1384.94873046875
6.0E-5,1384.3951416015625
6.0E-5,1382.8389892578125
6.0E-5,1382.5350341796875
6.0E-5,1382.28466796875
6.0E-5,1381.0281982421875
6.0E-5,1380.3004150390625
6.0E-5,1379.947021484375
6.0E-5,1379.5849609375
6.0E-5,1378.43017578125
6.0E-5,1378.9246826171875
6.0E-5,1376.84423828125
6.0E-5,1376.230224609375
6.0E-5,1376.230224609375
6.0E-5,1375.6378173828125
6.0E-5,1374.9583740234375
6.0E-5,1374.5994873046875
6.0E-5,1373.8123779296875
6.0E-5,1371.4451904296875
6.0E-5,1371.4295654296875
6.0E-5,1370.897705078125
6.0E-5,1370.51025390625
6.0E-5,1369.260986328125
6.0E-5,1369.8466796875
6.0E-5,1368.1734619140625
6.0E-5,1367.246826171875
6.0E-5,1367.9302978515625
6.0E-5,1366.4205322265625
6.0E-5,1365.9173583984375
6.0E-5,1364.9747314453125
6.0E-5,1364.015869140625
6.0E-5,1362.8165283203125
6.0E-5,1362.863525390625
6.0E-5,1361.8712158203125
6.0E-5,1360.8486328125
6.0E-5,1361.4248046875
6.0E-5,1360.0841064453125
6.0E-5,1358.524658203125
6.0E-5,1358.79541015625
6.0E-5,1357.205078125
6.0E-5,1356.624267578125
6.0E-5,1357.041259765625
6.0E-5,1355.782958984375
6.0E-5,1355.600830078125
6.0E-5,1354.759765625
6.0E-5,1354.0306396484375
6.0E-5,1352.76220703125
6.0E-5,1351.5582275390625
6.0E-5,1351.825927734375
6.0E-5,1350.2598876953125
6.0E-5,1349.41455078125
6.0E-5,1348.0457763671875
